gen,cand,arm_ke,arm_kd,hand_ke,hand_kd,friction,object_mass,joint_armature,add_apple_0,add_baseball_0,add_beige_brush_2,add_donut_0,add_coffee_tin_0,mean_add
19,6,6323.2,234.79,92.539,3.4355,0.59491,0.12,0.072569,0.02543,0.00209,0.02919,0.05062,0.06160,0.03379
19,7,3862.4,175.32,102.69,5.1782,0.45186,0.2368,0.059298,1.00000,0.00209,0.02753,0.04926,0.04667,0.22511
20,0,1126.4,144.11,10.9,0.54547,0.65194,0.067226,0.087253,0.03290,0.00209,0.04607,0.05491,0.08761,0.04472
20,1,7188,98.959,109.26,1.2366,0.32793,0.23544,0.09505,0.03404,0.00209,0.02767,0.05171,0.04764,0.03263
20,2,6406.7,245.88,28.852,0.65258,0.37409,0.15095,0.079336,0.04446,0.00209,0.03645,0.05532,0.04613,0.03689
20,3,1856.1,186.29,5.1866,2.0802,0.35693,0.17702,0.02084,0.02971,0.00209,0.03126,0.05328,0.04361,0.03199
20,4,3235.4,11.301,5.2908,0.61821,0.56941,0.091819,0.036213,0.02643,0.00209,0.02671,0.04970,0.06979,0.03494
20,5,1169.3,34.226,5.0009,4.2612,1.0825,0.07991,0.0056643,0.02594,0.00209,0.03268,0.05719,0.08014,0.03961
20,6,1395.3,128.28,96.571,3.5344,0.26268,0.36077,0.044158,0.02506,0.00209,0.03035,0.05026,0.04328,0.03021
20,7,2669.5,116.45,10.653,2.0613,0.48352,0.096893,0.066071,1.00000,0.00209,0.02655,0.04971,0.07663,0.23099
